title,make,model,year,condition,transmission,price
Mercedes-Benz GLC-Class 2018 Gray,Mercedes-Benz,GLC-Class,2018,local used,automatic,"₦ 17,500,000"
Honda Accord 2021 Black,Honda,Accord,2021,foreign used,automatic,"₦ 34,000,000"
Kia Optima EX 4dr Sedan (2.4L 4cyl 6A) 2014 Red,Kia,Optima EX,2014,foreign used,automatic,"₦ 13,650,000"
Toyota Camry 2012 White,Toyota,Camry,2012,local used,automatic,"₦ 9,500,000"
Lexus RX 2006 Gold,Lexus,RX,2006,local used,automatic,"₦ 7,700,000"
Honda Civic 2013 Black,Honda,Civic,2013,local used,automatic,"₦ 5,900,000"
Kia Picanto 2009 Black,Kia,Picanto,2009,local used,automatic,"₦ 2,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry SE,2013,local used,automatic,"₦ 9,000,000"
Lexus ES 350 2011 Black,Lexus,ES 350,2011,local used,automatic,"₦ 8,226,562"
BMW 760 2015 Gold,BMW,760,2015,local used,automatic,"₦ 37,000,000"
Mercedes-Benz G-Class 2020 Black,Mercedes-Benz,G-Class,2020,local used,automatic,"₦ 300,000,000"
Mercedes-Benz CLA-Class CLA 180 d Sedan 2023 Black,Mercedes-Benz,CLA-Class CLA,2023,local used,automatic,"₦ 65,000,000"
Toyota Corolla 2011 Silver,Toyota,Corolla,2011,foreign used,automatic,"₦ 11,400,000"
Infiniti EX 2008,Infiniti,EX,2008,local used,automatic,"₦ 5,500,000"
Dodge Charger 2017 Blue,Dodge,Charger,2017,foreign used,automatic,"₦ 16,000,000"
Volkswagen Passat 2.0T FSi Sportline Tiptronic 2009 Green,Volkswagen,Passat 2,2009,local used,automatic,"₦ 3,400,000"
Jeep Wrangler 3.8 2007 Black,Jeep,Wrangler 3,2007,local used,automatic,"₦ 14,800,000"
Honda Accord Sedan EX Automatic 2012 Black,Honda,Accord Sedan,2012,local used,automatic,"₦ 5,500,000"
Lexus RX 2015 Burgundy,Lexus,RX,2015,local used,automatic,"₦ 22,700,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015,Mercedes-Benz,M Class,2015,local used,automatic,"₦ 15,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 White,Mercedes-Benz,GLK-Class 350,2014,local used,automatic,"₦ 13,200,000"
Mercedes-Benz GLE-Class GLE 350 2018 Gray,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 30,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Silver,Toyota,Camry SE,2016,foreign used,automatic,"₦ 13,500,000"
Hyundai Tucson 2017 Black,Hyundai,Tucson,2017,foreign used,automatic,"₦ 17,250,000"
Honda Civic 2013 Black,Honda,Civic,2013,local used,automatic,"₦ 5,850,000"
Ford Edge 2014 Brown,Ford,Edge,2014,local used,automatic,"₦ 5,800,000"
Mercedes-Benz GLA 250 2015 Black,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 14,000,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,local used,automatic,"₦ 9,000,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2011,Mercedes-Benz,E350 Base,2011,local used,automatic,"₦ 9,000,000"
Toyota FJ Cruiser 2007 Black,Toyota,FJ Cruiser,2007,local used,automatic,"₦ 9,500,000"
Toyota Venza V6 AWD 2010 Gold,Toyota,Venza V6,2010,local used,automatic,"₦ 9,500,000"
Toyota Sienna 2009 Red,Toyota,Sienna,2009,foreign used,automatic,"₦ 9,500,000"
Toyota RAV4 2020 Red,Toyota,RAV4,2020,foreign used,automatic,"₦ 36,000,000"
